source,target
cengkeh,Maluku
cengkeh,Jawa Timur
cengkeh,Sulawesi
cengkeh,Kaltim
cengkeh,NTT
kayu manis,Jambi
kayu manis,Boyolali
kayu manis,Yogyakarta
kayu manis,Sumbar
kayu manis,Ternate
pala,Maluku utara
pala,Aceh
pala,Papua barat
kunyit,Aceh
kunyit,Sumut
kunyit,Sumbar
kunyit,Riau
jahe,Jatim
jahe,Jabar
jahe,Jateng
